id,manufacturer,model,product_ids
1465,Axiohm,7156,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1466,Axiohm,7193,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1467,Axiohm,7196,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1468,Axiohm,A715,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1469,Axiohm,A716,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1470,Axiohm,A756,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1471,Axiohm,A758,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1472,Axiohm,A760,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1473,Axiohm,A793,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1474,Axiohm,A794,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1475,Axiohm,A795,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1476,AZT,381PD,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1477,AZT,804R Thermal Printers,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1478,Beiyang,BTP-2002-NP,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1479,Citizen,CBM1000,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1480,Citizen,CBM230,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1481,Citizen,CBM231,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1482,Citizen,CBM293,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
1483,Citizen,CTS300,"19000DT,19001BDT,19003DT,19015DT,19029DT,19033DT,19034DT,19041PDT,19042CDT,19045GDT,19201DT,220010POS"
